Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,49.75,95.90,4.16,31.13,19.95,15.32,14.62,0.95,47.44,NA,NA,NA,NA,NA,NA,16.56,68.09,0.80,139.34,0.00,0.00,203.03,703.95,NA
2022-01-02 00:00:00,68.47,129.22,5.73,35.17,23.37,18.38,32.12,1.17,38.68,NA,NA,NA,NA,NA,NA,16.90,72.50,0.83,147.83,0.00,0.00,199.53,705.11,NA
2022-01-03 00:00:00,64.76,124.76,3.84,32.36,20.34,16.38,18.26,1.05,52.48,NA,NA,NA,NA,NA,NA,17.28,65.97,0.74,160.43,0.00,0.00,197.62,705.09,NA
2022-01-04 00:00:00,88.88,156.29,6.77,38.89,26.19,14.73,31.70,1.28,61.00,NA,NA,NA,NA,NA,NA,18.51,55.55,0.57,166.31,0.00,0.00,193.66,704.00,NA
2022-01-05 00:00:00,314.92,398.73,3.80,30.62,19.38,21.63,44.01,2.31,51.82,NA,NA,NA,NA,NA,NA,20.08,59.10,0.78,164.60,0.00,0.00,185.46,704.56,NA
2022-01-06 00:00:00,174.34,242.71,2.63,19.90,12.73,19.84,26.09,2.11,49.72,NA,NA,NA,NA,NA,NA,20.32,69.60,1.25,181.55,0.00,0.00,187.05,705.00,NA
2022-01-07 00:00:00,401.65,404.94,5.86,36.91,24.40,38.17,20.57,1.56,41.76,NA,NA,NA,NA,NA,NA,18.03,81.73,0.77,151.97,0.55,48.30,156.67,704.34,NA
2022-01-08 00:00:00,178.57,242.86,23.58,42.02,41.52,33.50,12.19,2.44,37.27,NA,NA,NA,NA,NA,NA,19.01,80.64,0.79,194.18,0.09,8.20,197.73,704.33,NA
2022-01-09 00:00:00,98.11,147.77,10.55,36.00,27.73,22.67,15.16,1.11,24.53,NA,NA,NA,NA,NA,NA,16.77,81.97,0.85,236.14,0.05,4.80,152.83,705.00,NA
2022-01-10 00:00:00,39.26,71.94,4.10,24.07,16.13,13.32,19.08,0.82,45.53,NA,NA,NA,NA,NA,NA,14.14,70.24,1.47,227.27,0.00,0.00,208.19,705.56,NA
2022-01-11 00:00:00,75.31,115.84,5.00,20.66,15.05,13.79,22.69,1.14,39.92,NA,NA,NA,NA,NA,NA,13.52,80.93,1.55,182.30,0.00,0.00,202.83,705.51,NA
2022-01-12 00:00:00,61.72,110.58,5.33,25.50,17.89,11.96,21.76,1.00,47.41,NA,NA,NA,NA,NA,NA,13.95,72.95,1.16,207.95,0.00,0.00,211.08,704.42,NA
2022-01-13 00:00:00,66.15,108.33,3.75,23.48,15.53,12.40,20.80,1.08,50.05,NA,NA,NA,NA,NA,NA,14.37,72.20,0.98,153.59,0.00,0.00,221.24,704.00,NA
2022-01-14 00:00:00,70.42,112.78,3.16,19.91,13.16,13.65,26.96,0.83,45.81,NA,NA,NA,NA,NA,NA,14.32,77.03,1.43,162.34,0.00,0.00,223.33,704.30,NA
2022-01-15 00:00:00,88.07,130.59,3.00,22.11,14.20,15.47,29.74,0.84,55.20,NA,NA,NA,NA,NA,NA,14.26,77.70,1.26,158.43,0.00,0.00,201.68,704.00,NA
2022-01-16 00:00:00,87.65,129.31,4.15,20.84,14.45,14.22,11.54,1.05,45.45,NA,NA,NA,NA,NA,NA,11.94,86.42,1.04,153.07,0.00,0.00,184.62,704.00,NA
2022-01-17 00:00:00,75.03,124.32,4.95,25.16,17.40,13.83,22.61,1.18,37.42,NA,NA,NA,NA,NA,NA,14.37,79.73,0.72,173.54,0.00,0.00,209.30,703.73,NA
2022-01-18 00:00:00,73.67,142.84,5.78,28.69,19.96,14.25,20.12,1.11,48.41,NA,NA,NA,NA,NA,NA,16.18,71.66,0.75,198.27,0.00,0.00,215.16,703.82,NA
2022-01-19 00:00:00,82.33,167.62,17.23,34.71,32.47,13.50,24.97,1.29,48.29,NA,NA,NA,NA,NA,NA,15.78,62.83,0.69,235.33,0.00,0.00,209.44,704.72,NA
2022-01-20 00:00:00,68.84,132.76,4.36,24.56,16.61,12.83,26.60,1.21,65.75,NA,NA,NA,NA,NA,NA,17.39,59.17,0.70,201.92,0.00,0.00,208.16,705.00,NA
2022-01-21 00:00:00,50.14,116.94,12.89,23.92,23.09,10.97,13.67,1.01,68.34,NA,NA,NA,NA,NA,NA,17.23,59.96,0.79,225.46,0.00,0.00,203.38,703.96,NA
2022-01-22 00:00:00,29.29,91.17,1.43,11.35,7.20,9.71,28.24,0.53,57.46,NA,NA,NA,NA,NA,NA,17.73,68.34,1.05,201.21,0.01,1.00,190.52,703.56,NA
2022-01-23 00:00:00,50.69,231.32,2.65,14.90,10.08,9.79,15.35,0.92,47.46,NA,NA,NA,NA,NA,NA,15.69,70.70,1.06,216.80,0.00,0.00,222.15,704.00,NA
2022-01-24 00:00:00,65.32,276.84,2.80,22.51,14.25,9.13,28.77,0.84,56.80,NA,NA,NA,NA,NA,NA,13.37,60.36,1.03,175.41,0.00,0.00,227.75,704.00,NA
2022-01-25 00:00:00,45.04,122.79,4.55,26.09,17.58,9.35,23.77,1.09,58.75,NA,NA,NA,NA,NA,NA,12.76,58.48,1.01,163.17,0.00,0.00,218.15,704.00,NA
2022-01-26 00:00:00,51.33,122.14,5.52,25.34,17.96,10.42,22.24,1.10,58.92,NA,NA,NA,NA,NA,NA,12.43,58.34,0.94,167.64,0.00,0.00,218.19,704.00,NA
2022-01-27 00:00:00,53.62,133.43,5.57,27.69,19.26,10.88,16.45,1.18,64.72,NA,NA,NA,NA,NA,NA,12.41,55.88,0.91,172.26,0.00,0.00,222.16,704.00,NA
2022-01-28 00:00:00,61.62,140.28,7.02,29.46,21.39,11.30,26.92,1.31,56.65,NA,NA,NA,NA,NA,NA,13.22,54.40,0.85,161.85,0.00,0.00,223.04,704.00,NA
2022-01-29 00:00:00,71.01,154.53,10.66,32.95,26.19,11.73,20.58,1.55,61.75,NA,NA,NA,NA,NA,NA,15.31,52.82,0.58,194.88,0.00,0.00,219.43,704.00,NA
2022-01-30 00:00:00,49.00,113.44,2.57,24.70,15.22,11.04,26.37,1.19,65.86,NA,NA,NA,NA,NA,NA,16.92,52.80,0.54,257.65,0.00,0.00,218.03,704.00,NA
2022-01-31 00:00:00,34.22,102.59,1.36,16.19,9.71,8.75,16.55,0.83,87.22,NA,NA,NA,NA,NA,NA,17.77,48.60,0.73,225.25,0.00,0.00,214.55,704.00,NA
2022-02-01 00:00:00,40.21,109.79,2.06,18.60,11.58,10.80,21.93,0.85,68.65,NA,NA,NA,NA,NA,NA,18.64,55.60,0.64,259.80,0.00,0.00,215.09,704.16,NA
2022-02-02 00:00:00,59.06,143.55,4.28,20.78,14.54,13.46,22.55,0.86,63.10,NA,NA,NA,NA,NA,NA,19.76,58.99,0.66,210.89,0.00,0.00,216.66,703.88,NA
2022-02-03 00:00:00,43.98,136.37,3.16,15.12,10.61,19.14,24.05,0.38,64.58,NA,NA,NA,NA,NA,NA,18.75,57.30,1.10,198.16,0.00,0.00,176.00,703.30,NA
2022-02-04 00:00:00,45.97,163.66,3.30,20.24,13.44,9.00,17.53,0.78,63.67,NA,NA,NA,NA,NA,NA,17.24,46.98,0.80,241.49,0.00,0.00,224.97,703.64,NA
2022-02-05 00:00:00,37.47,152.19,3.57,24.32,15.83,6.86,15.53,1.01,69.49,NA,NA,NA,NA,NA,NA,18.14,40.83,0.72,214.56,0.00,0.00,226.56,704.28,NA
2022-02-06 00:00:00,47.43,166.45,6.95,31.28,22.29,9.27,22.06,1.40,63.85,NA,NA,NA,NA,NA,NA,18.46,47.31,0.65,156.03,0.00,0.00,226.85,704.00,NA
2022-02-07 00:00:00,48.11,159.48,1.98,25.89,15.37,9.28,25.32,1.18,79.88,NA,NA,NA,NA,NA,NA,20.11,47.12,0.70,192.56,0.00,0.00,226.53,704.29,NA
2022-02-08 00:00:00,53.11,163.18,4.99,32.32,21.25,10.51,35.45,1.44,67.39,NA,NA,NA,NA,NA,NA,20.88,50.00,0.77,200.03,0.00,0.00,216.68,704.29,NA
2022-02-09 00:00:00,49.05,155.23,2.34,18.92,11.96,11.72,30.19,0.89,73.82,NA,NA,NA,NA,NA,NA,20.80,55.12,1.16,210.62,0.00,0.00,215.93,705.04,NA
2022-02-10 00:00:00,72.72,138.51,2.98,20.07,13.07,13.54,16.09,0.93,54.07,NA,NA,NA,NA,NA,NA,17.20,63.96,1.27,170.65,0.00,0.00,235.96,704.72,NA
2022-02-11 00:00:00,43.33,121.23,7.20,30.68,22.18,8.30,18.83,1.02,53.38,NA,NA,NA,NA,NA,NA,16.99,50.26,0.85,193.06,0.00,0.00,237.53,704.82,NA
2022-02-12 00:00:00,51.18,145.27,4.24,30.72,19.79,9.71,24.46,1.15,63.40,NA,NA,NA,NA,NA,NA,18.21,48.12,0.79,214.60,0.00,0.00,237.25,704.39,NA
2022-02-13 00:00:00,36.52,100.65,2.53,23.93,14.79,8.99,37.98,0.84,73.27,NA,NA,NA,NA,NA,NA,19.21,45.41,0.81,172.32,0.00,0.00,235.36,704.00,NA
2022-02-14 00:00:00,33.73,107.03,2.04,20.87,12.77,8.75,34.29,0.74,76.19,NA,NA,NA,NA,NA,NA,20.13,46.12,0.98,151.69,0.00,0.00,233.23,704.20,NA
2022-02-15 00:00:00,30.16,94.88,1.82,17.27,10.62,8.64,29.17,0.72,78.61,NA,NA,NA,NA,NA,NA,20.47,47.26,1.16,154.45,0.00,0.00,226.18,705.06,NA
2022-02-16 00:00:00,31.01,111.88,2.55,22.03,13.79,8.64,20.02,0.82,71.12,NA,NA,NA,NA,NA,NA,20.09,45.07,1.25,167.78,0.00,0.00,236.30,705.19,NA
2022-02-17 00:00:00,25.25,88.59,1.83,19.54,11.89,7.48,21.46,0.74,72.26,NA,NA,NA,NA,NA,NA,20.67,38.57,0.91,151.74,0.00,0.00,232.43,704.65,NA
2022-02-18 00:00:00,26.67,83.17,1.49,19.91,11.79,7.63,24.36,0.66,75.07,NA,NA,NA,NA,NA,NA,21.47,38.93,0.78,160.61,0.00,0.00,214.86,704.96,NA
2022-02-19 00:00:00,50.44,126.38,1.98,23.57,14.15,11.82,27.61,0.92,76.37,NA,NA,NA,NA,NA,NA,23.21,47.59,0.69,187.96,0.00,0.00,215.99,705.47,NA
2022-02-20 00:00:00,24.77,96.34,1.61,17.01,10.36,8.11,30.15,0.48,80.36,NA,NA,NA,NA,NA,NA,21.93,39.79,0.99,228.26,0.00,0.00,234.21,705.00,NA
2022-02-21 00:00:00,23.08,97.12,3.02,19.12,12.60,6.22,21.82,0.69,73.91,NA,NA,NA,NA,NA,NA,22.28,34.91,0.84,218.21,0.00,0.00,220.20,704.98,NA
2022-02-22 00:00:00,32.54,104.32,1.25,15.78,9.42,7.74,27.88,0.71,84.76,NA,NA,NA,NA,NA,NA,24.35,35.43,0.75,165.07,0.00,0.00,227.01,704.23,NA
2022-02-23 00:00:00,45.39,132.50,6.05,31.55,21.71,9.62,30.85,1.34,75.95,NA,NA,NA,NA,NA,NA,24.66,42.69,0.73,218.60,0.00,0.00,230.53,704.85,NA
2022-02-24 00:00:00,38.32,138.04,1.14,14.79,8.79,8.42,27.21,0.68,85.38,NA,NA,NA,NA,NA,NA,24.62,40.77,1.08,225.78,0.00,0.00,234.67,705.47,NA
2022-02-25 00:00:00,54.00,177.83,3.32,22.81,14.83,11.09,23.20,1.06,72.42,NA,NA,NA,NA,NA,NA,23.41,49.40,0.87,142.43,0.00,0.00,243.22,705.23,NA
2022-02-26 00:00:00,45.41,140.32,1.98,21.59,13.10,9.41,25.05,0.82,81.62,NA,NA,NA,NA,NA,NA,24.83,40.62,1.04,197.27,0.00,0.00,233.17,704.65,NA
2022-02-27 00:00:00,54.12,163.36,2.83,24.34,15.25,10.92,20.08,1.04,71.21,NA,NA,NA,NA,NA,NA,24.69,44.43,1.13,195.80,0.00,0.00,242.69,704.00,NA
2022-02-28 00:00:00,57.90,138.32,1.96,18.92,11.66,15.60,20.45,1.20,74.85,NA,NA,NA,NA,NA,NA,21.50,61.22,1.50,161.48,0.00,0.00,235.49,705.17,NA
2022-03-01 00:00:00,40.69,110.58,1.54,18.44,11.06,10.30,13.29,0.77,80.86,NA,NA,NA,NA,NA,NA,22.72,46.47,1.22,173.10,0.00,0.00,231.65,706.44,NA
2022-03-02 00:00:00,26.88,89.84,1.86,19.85,12.05,7.40,16.52,0.83,75.13,NA,NA,NA,NA,NA,NA,23.26,35.75,1.02,170.08,0.00,0.00,225.61,706.44,NA
2022-03-03 00:00:00,48.94,130.59,5.34,28.53,19.52,10.44,23.27,1.22,76.27,NA,NA,NA,NA,NA,NA,24.23,43.09,0.73,170.11,0.00,0.00,213.03,705.03,NA
2022-03-04 00:00:00,44.88,123.96,1.78,19.90,12.03,12.05,16.87,0.84,79.08,NA,NA,NA,NA,NA,NA,24.50,47.91,1.15,249.24,0.00,0.00,223.46,704.43,NA
2022-03-05 00:00:00,42.40,128.59,10.98,27.86,23.74,9.44,23.77,1.14,74.22,NA,NA,NA,NA,NA,NA,23.10,43.94,1.17,196.06,0.00,0.00,227.11,704.83,NA
2022-03-06 00:00:00,41.66,123.76,5.98,33.79,22.84,9.43,23.06,1.33,57.28,NA,NA,NA,NA,NA,NA,24.31,37.56,0.88,192.08,0.00,0.00,225.62,706.41,NA
2022-03-07 00:00:00,38.21,102.42,1.85,21.21,12.76,8.90,22.31,1.04,80.67,NA,NA,NA,NA,NA,NA,25.74,35.81,0.87,166.42,0.01,0.50,206.82,706.04,NA
2022-03-08 00:00:00,36.62,91.74,1.16,15.04,8.94,12.08,18.48,0.60,74.33,NA,NA,NA,NA,NA,NA,24.72,45.46,0.93,170.64,0.00,0.00,209.77,706.06,NA
2022-03-09 00:00:00,37.46,114.62,1.45,17.10,10.27,11.46,24.11,0.61,67.77,NA,NA,NA,NA,NA,NA,24.38,50.50,1.23,202.46,0.00,0.00,212.50,706.88,NA
2022-03-10 00:00:00,33.69,91.16,2.35,23.70,14.51,9.63,20.27,0.86,66.60,NA,NA,NA,NA,NA,NA,24.46,49.36,0.99,174.33,0.00,0.00,224.05,706.67,NA
2022-03-11 00:00:00,44.85,139.79,5.66,29.95,20.53,10.16,21.60,0.97,63.39,NA,NA,NA,NA,NA,NA,25.25,43.75,1.01,200.12,0.00,0.00,222.89,707.10,NA
2022-03-12 00:00:00,36.54,134.04,3.95,26.49,17.30,8.87,23.56,0.84,68.39,NA,NA,NA,NA,NA,NA,26.10,33.30,0.83,195.33,0.00,0.00,222.04,707.85,NA
2022-03-13 00:00:00,44.46,144.53,7.12,28.49,20.94,10.49,16.18,1.13,56.98,NA,NA,NA,NA,NA,NA,27.01,35.36,0.80,208.29,0.00,0.00,219.36,708.48,NA
2022-03-14 00:00:00,46.19,158.89,5.06,27.72,18.81,10.53,26.14,1.20,60.10,NA,NA,NA,NA,NA,NA,28.47,33.25,0.78,192.75,0.00,0.00,212.77,706.81,NA
2022-03-15 00:00:00,27.96,130.94,2.10,17.22,10.78,7.99,24.59,0.73,71.12,NA,NA,NA,NA,NA,NA,30.29,28.34,1.19,274.26,0.00,0.00,207.45,706.15,NA
2022-03-16 00:00:00,30.28,139.41,2.95,20.61,13.29,6.55,26.64,0.78,71.61,NA,NA,NA,NA,NA,NA,31.06,24.23,1.30,279.11,0.00,0.00,209.93,707.40,NA
2022-03-17 00:00:00,30.95,150.30,2.60,21.94,13.78,7.88,23.32,0.85,62.21,NA,NA,NA,NA,NA,NA,31.03,25.73,1.45,265.50,0.00,0.00,218.78,707.65,NA
2022-03-18 00:00:00,55.85,147.53,1.35,16.55,9.90,12.30,29.02,0.99,85.16,NA,NA,NA,NA,NA,NA,31.08,30.32,1.14,223.61,0.00,0.00,226.71,707.00,NA
2022-03-19 00:00:00,61.58,159.09,2.71,26.66,16.38,15.55,27.18,1.23,86.10,NA,NA,NA,NA,NA,NA,30.12,37.67,1.05,229.61,0.00,0.00,221.70,707.44,NA
2022-03-20 00:00:00,55.10,149.40,2.96,24.70,15.45,11.76,26.02,1.00,79.00,NA,NA,NA,NA,NA,NA,31.20,27.41,0.71,236.14,0.00,0.00,221.07,707.00,NA
2022-03-21 00:00:00,36.39,151.71,1.65,17.29,10.51,7.45,27.61,0.62,71.92,NA,NA,NA,NA,NA,NA,30.63,22.08,1.27,275.81,0.00,0.00,230.38,707.11,NA
2022-03-22 00:00:00,35.18,147.33,1.03,16.70,9.70,7.82,48.32,0.59,86.09,NA,NA,NA,NA,NA,NA,30.75,23.24,0.91,251.39,0.00,0.00,227.30,706.00,NA
2022-03-23 00:00:00,48.00,149.38,3.38,28.70,17.92,10.52,33.95,1.17,79.02,NA,NA,NA,NA,NA,NA,31.38,25.54,0.69,181.97,0.00,0.00,203.45,707.33,NA
2022-03-24 00:00:00,54.39,191.22,2.87,27.44,16.94,11.08,27.57,1.11,74.15,NA,NA,NA,NA,NA,NA,31.92,25.46,0.99,253.69,0.00,0.00,218.79,707.36,NA
2022-03-25 00:00:00,35.03,143.99,1.74,20.75,12.42,8.03,21.54,0.65,73.66,NA,NA,NA,NA,NA,NA,30.78,23.36,0.71,242.72,0.00,0.00,210.72,707.22,NA
2022-03-26 00:00:00,32.34,161.21,2.80,22.98,14.39,6.16,26.08,0.78,78.89,NA,NA,NA,NA,NA,NA,31.32,19.38,1.21,251.68,0.00,0.00,210.76,707.49,NA
2022-03-27 00:00:00,38.16,153.42,13.82,33.97,29.30,7.75,24.95,1.04,65.25,NA,NA,NA,NA,NA,NA,30.48,19.49,0.67,212.76,0.00,0.00,224.18,707.00,NA
2022-03-28 00:00:00,33.81,146.12,2.98,18.60,12.31,7.31,24.18,0.81,70.38,NA,NA,NA,NA,NA,NA,31.65,18.88,0.94,244.74,0.00,0.00,212.92,707.30,NA
2022-03-29 00:00:00,29.74,129.36,2.72,16.06,10.68,5.38,23.99,0.71,79.69,NA,NA,NA,NA,NA,NA,31.77,19.00,1.20,251.17,0.00,0.00,210.47,707.65,NA
2022-03-30 00:00:00,36.87,154.03,0.88,12.79,7.42,5.46,33.40,0.46,86.91,NA,NA,NA,NA,NA,NA,32.18,19.57,1.18,248.22,0.00,0.00,202.28,706.64,NA
2022-03-31 00:00:00,31.43,118.35,1.12,14.94,8.77,5.05,20.59,0.38,100.02,NA,NA,NA,NA,NA,NA,32.55,17.63,1.03,246.24,0.00,0.00,215.37,707.40,NA
2022-04-01 00:00:00,43.34,164.88,1.85,21.18,12.60,5.97,24.87,0.39,98.46,NA,NA,NA,NA,NA,NA,32.72,19.76,0.91,247.70,0.00,0.00,220.90,707.26,NA
2022-04-02 00:00:00,57.95,196.11,2.64,28.92,17.45,9.36,29.46,0.40,96.62,NA,NA,NA,NA,NA,NA,32.45,22.24,0.73,226.24,0.00,0.00,215.97,707.34,NA
2022-04-03 00:00:00,52.68,166.94,2.58,26.27,16.07,8.58,23.72,0.40,90.68,NA,NA,NA,NA,NA,NA,32.91,20.25,0.74,240.78,0.00,0.00,215.10,707.55,NA
2022-04-04 00:00:00,34.34,139.70,1.10,14.97,8.36,6.66,19.19,0.34,102.12,NA,NA,NA,NA,NA,NA,33.29,16.67,0.97,256.70,0.00,0.00,196.59,707.54,NA
2022-04-05 00:00:00,37.03,147.92,3.42,29.79,17.66,8.67,19.68,0.58,77.64,NA,NA,NA,NA,NA,NA,33.41,17.14,0.69,204.81,0.00,0.00,207.97,707.26,NA
2022-04-06 00:00:00,43.72,151.44,6.04,30.90,20.39,10.75,20.90,0.62,78.94,NA,NA,NA,NA,NA,NA,33.52,17.30,0.77,229.38,0.00,0.00,203.50,707.75,NA
2022-04-07 00:00:00,48.62,163.16,3.33,31.47,18.48,12.08,19.99,0.58,72.42,NA,NA,NA,NA,NA,NA,33.96,18.12,0.96,194.08,0.00,0.00,204.03,708.06,NA
2022-04-08 00:00:00,44.62,147.11,8.54,30.75,22.25,10.88,24.79,0.71,76.87,NA,NA,NA,NA,NA,NA,33.97,14.58,0.79,205.28,0.00,0.00,207.53,708.35,NA
2022-04-09 00:00:00,56.19,159.86,3.64,28.80,17.03,12.17,20.79,0.66,83.85,NA,NA,NA,NA,NA,NA,34.25,19.38,0.76,219.80,0.00,0.00,210.68,707.19,NA
2022-04-10 00:00:00,44.53,152.24,1.99,18.84,10.14,9.40,19.90,0.45,92.51,NA,NA,NA,NA,NA,NA,34.39,19.18,1.18,263.65,0.00,0.00,218.09,706.21,NA
2022-04-11 00:00:00,46.43,143.15,1.26,15.80,8.51,9.81,22.39,0.48,104.48,NA,NA,NA,NA,NA,NA,33.90,22.04,1.30,254.20,0.00,0.00,206.94,707.94,NA
2022-04-12 00:00:00,52.82,164.10,2.62,28.33,16.35,12.37,24.26,0.63,92.44,NA,NA,NA,NA,NA,NA,33.23,24.31,1.27,258.78,0.00,0.00,214.85,708.82,NA
2022-04-13 00:00:00,57.43,176.15,2.25,25.75,14.90,13.18,18.39,0.42,86.66,NA,NA,NA,NA,NA,NA,33.11,19.85,1.27,267.05,0.00,0.00,221.44,708.11,NA
2022-04-14 00:00:00,52.74,195.34,1.43,15.13,8.84,10.64,17.03,0.50,84.90,NA,NA,NA,NA,NA,NA,33.28,18.27,1.12,233.86,0.00,0.00,231.37,708.73,NA
2022-04-15 00:00:00,41.12,150.62,2.16,20.12,10.97,8.70,21.40,0.82,86.45,NA,NA,NA,NA,NA,NA,35.92,15.11,1.15,234.04,0.00,0.00,250.09,708.45,NA
2022-04-16 00:00:00,41.37,145.55,1.95,18.33,9.84,9.37,21.97,0.74,95.05,NA,NA,NA,NA,NA,NA,35.14,19.57,1.10,225.73,0.00,0.00,291.61,707.85,NA
2022-04-17 00:00:00,49.39,155.93,1.75,17.46,9.20,9.25,20.46,0.78,88.24,NA,NA,NA,NA,NA,NA,33.25,21.92,1.21,223.92,0.00,0.00,222.15,707.18,NA
2022-04-18 00:00:00,48.06,175.72,1.90,17.66,9.82,9.36,22.47,0.73,75.09,NA,NA,NA,NA,NA,NA,34.02,21.51,1.25,252.56,0.00,0.00,212.21,708.11,NA
2022-04-19 00:00:00,46.65,168.80,2.55,19.30,11.36,9.75,23.01,0.77,66.76,NA,NA,NA,NA,NA,NA,33.97,21.73,1.39,267.95,0.00,0.00,220.30,709.23,NA
2022-04-20 00:00:00,71.36,156.23,1.69,16.67,9.11,8.92,21.86,0.91,95.32,NA,NA,NA,NA,NA,NA,34.58,19.78,1.12,227.30,0.01,0.50,214.06,709.18,NA
2022-04-21 00:00:00,39.72,186.97,1.96,15.27,8.76,9.91,16.80,0.96,72.58,NA,NA,NA,NA,NA,NA,30.96,29.09,1.68,252.08,0.00,0.00,173.35,709.49,NA
2022-04-22 00:00:00,58.77,126.68,4.08,26.89,16.63,13.42,18.75,1.32,95.40,NA,NA,NA,NA,NA,NA,31.97,29.09,0.69,192.20,0.00,0.00,232.30,708.11,NA
2022-04-23 00:00:00,37.56,115.44,3.15,18.89,11.36,8.84,16.91,0.91,72.07,NA,NA,NA,NA,NA,NA,33.82,19.67,1.14,261.53,0.00,0.00,227.91,707.96,NA
2022-04-24 00:00:00,42.14,129.18,2.52,18.24,10.24,8.99,19.31,1.11,70.18,NA,NA,NA,NA,NA,NA,33.65,19.46,1.16,249.79,0.00,0.00,223.21,708.17,NA
2022-04-25 00:00:00,42.40,120.72,1.46,11.24,6.23,7.55,20.38,0.83,79.53,NA,NA,NA,NA,NA,NA,33.97,17.53,1.35,247.02,0.00,0.00,223.00,708.91,NA
2022-04-26 00:00:00,42.78,141.78,2.31,15.74,8.98,7.85,24.23,1.09,81.42,NA,NA,NA,NA,NA,NA,33.83,18.45,1.40,260.64,0.00,0.00,219.98,709.06,NA
2022-04-27 00:00:00,40.22,110.96,1.38,13.87,7.57,17.88,18.06,0.78,90.86,NA,NA,NA,NA,NA,NA,35.11,16.72,1.11,231.92,0.00,0.00,217.64,709.10,NA
2022-04-28 00:00:00,30.92,104.28,1.31,12.82,6.60,11.63,21.74,0.70,97.82,NA,NA,NA,NA,NA,NA,35.74,16.89,1.11,217.47,0.00,0.00,207.96,709.08,NA
2022-04-29 00:00:00,33.66,111.37,2.23,15.91,9.29,10.66,16.61,1.00,75.22,NA,NA,NA,NA,NA,NA,35.89,17.03,1.31,249.01,0.00,0.00,211.25,709.12,NA
2022-04-30 00:00:00,41.40,138.19,2.05,13.28,7.71,13.03,17.08,0.88,71.67,NA,NA,NA,NA,NA,NA,34.88,20.44,1.26,236.94,0.00,0.00,210.05,707.67,NA
2022-05-01 00:00:00,44.60,168.58,1.55,10.67,5.44,14.37,22.18,0.93,75.52,NA,NA,NA,NA,NA,NA,34.23,30.62,1.34,217.55,0.00,0.00,218.54,706.15,NA
2022-05-02 00:00:00,38.27,151.88,2.51,15.98,9.59,13.71,17.12,0.75,62.92,NA,NA,NA,NA,NA,NA,34.77,29.18,1.10,214.81,0.00,0.00,203.35,708.05,NA
2022-05-03 00:00:00,44.96,177.43,1.70,11.89,6.20,10.67,21.63,0.91,74.36,NA,NA,NA,NA,NA,NA,34.45,27.99,1.43,252.45,0.00,0.00,213.59,708.34,NA
2022-05-04 00:00:00,40.12,144.24,1.37,10.86,5.71,9.76,17.15,0.44,84.95,NA,NA,NA,NA,NA,NA,34.03,26.50,1.40,245.35,0.00,0.00,209.70,708.48,NA
2022-05-05 00:00:00,51.32,178.25,2.20,17.23,9.69,9.57,19.12,0.96,76.59,NA,NA,NA,NA,NA,NA,33.95,22.05,1.22,257.44,0.00,0.00,228.84,709.05,NA
2022-05-06 00:00:00,52.05,196.74,2.03,15.18,8.56,10.30,17.05,0.84,75.59,NA,NA,NA,NA,NA,NA,34.22,26.17,1.29,238.23,0.00,0.00,210.16,709.24,NA
2022-05-07 00:00:00,54.65,198.61,3.48,23.45,14.12,13.02,19.09,1.21,86.70,NA,NA,NA,NA,NA,NA,34.67,25.83,1.02,207.38,0.00,0.00,220.25,708.53,NA
2022-05-08 00:00:00,64.66,237.93,5.10,25.45,16.18,13.66,21.85,1.48,71.56,NA,NA,NA,NA,NA,NA,35.50,21.11,0.97,228.71,0.00,0.00,212.44,708.33,NA
2022-05-09 00:00:00,59.54,213.22,2.80,23.77,13.87,27.01,16.66,1.29,84.21,NA,NA,NA,NA,NA,NA,36.24,18.89,1.14,192.51,0.00,0.00,215.86,708.92,NA
2022-05-10 00:00:00,59.76,189.05,4.60,27.22,17.21,24.40,18.38,1.13,108.93,NA,NA,NA,NA,NA,NA,35.93,25.90,1.22,154.02,0.00,0.00,200.14,708.45,NA
2022-05-11 00:00:00,51.12,162.72,2.57,27.82,15.91,15.29,28.57,1.06,101.36,NA,NA,NA,NA,NA,NA,35.99,28.61,0.88,159.34,0.00,0.00,204.05,707.78,NA
2022-05-12 00:00:00,52.90,176.55,2.74,28.35,15.81,3.25,29.09,1.15,90.92,NA,NA,NA,NA,NA,NA,36.89,25.52,1.09,211.64,0.00,0.00,196.88,708.35,NA
2022-05-13 00:00:00,47.46,169.69,1.66,13.62,7.49,5.95,22.71,0.80,80.05,NA,NA,NA,NA,NA,NA,36.96,23.39,1.21,217.69,0.00,0.00,202.58,709.30,NA
2022-05-14 00:00:00,48.18,171.82,1.79,5.74,3.31,7.89,21.79,0.70,78.11,NA,NA,NA,NA,NA,NA,36.53,27.25,1.20,230.45,0.00,0.00,196.98,708.79,NA
