Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,331.78,463.06,85.79,200.24,176.31,137.75,3.58,0.40,4.19,NA,NA,NA,NA,NA,NA,8.67,90.64,0.93,241.07,NA,0.00,27.72,740.22,NA
2021-01-02 00:00:00,309.03,411.61,12.40,112.95,70.18,126.62,9.18,0.35,12.35,NA,NA,NA,NA,NA,NA,13.38,74.65,1.14,228.66,1.00,1.00,24.33,740.66,NA
2021-01-03 00:00:00,118.87,153.16,8.95,60.38,39.43,101.31,8.70,4.66,12.66,NA,NA,NA,NA,NA,NA,14.19,85.66,1.75,235.60,7.65,176.00,11.18,740.66,NA
2021-01-04 00:00:00,64.76,89.16,19.31,81.24,58.98,82.28,7.54,3.01,14.60,NA,NA,NA,NA,NA,NA,17.09,87.48,1.47,181.76,1.62,21.00,37.41,741.09,NA
2021-01-05 00:00:00,59.70,81.73,10.91,53.44,37.34,79.23,8.57,3.10,14.48,NA,NA,NA,NA,NA,NA,17.72,90.27,1.54,205.52,2.00,4.00,34.26,741.21,NA
2021-01-06 00:00:00,105.68,155.62,22.46,74.71,58.04,90.02,9.12,4.85,8.85,NA,NA,NA,NA,NA,NA,17.66,83.00,1.63,189.30,1.83,11.00,31.54,741.12,NA
2021-01-07 00:00:00,128.99,185.08,4.06,33.29,21.06,81.16,6.76,4.66,11.54,NA,NA,NA,NA,NA,NA,15.98,91.60,1.95,138.21,NA,0.00,27.82,740.75,NA
2021-01-08 00:00:00,142.04,251.64,13.14,51.56,38.13,54.89,15.12,1.60,10.36,NA,NA,NA,NA,NA,NA,13.53,89.92,1.49,144.25,1.00,1.00,25.38,740.57,NA
2021-01-09 00:00:00,145.01,251.68,5.05,45.97,28.58,71.69,11.68,1.37,12.86,NA,NA,NA,NA,NA,NA,15.83,88.81,2.49,117.94,NA,0.00,39.59,740.88,NA
2021-01-10 00:00:00,121.49,212.44,3.16,30.84,19.00,79.28,3.33,0.96,20.87,NA,NA,NA,NA,NA,NA,12.10,85.32,3.30,110.74,NA,0.00,53.68,740.40,NA
2021-01-11 00:00:00,135.08,228.48,5.75,44.42,28.32,76.65,5.26,1.56,23.62,NA,NA,NA,NA,NA,NA,11.91,83.26,2.89,116.24,NA,0.00,52.16,740.34,NA
2021-01-12 00:00:00,177.36,276.11,16.28,59.56,44.94,84.79,3.23,1.96,18.53,NA,NA,NA,NA,NA,NA,11.57,85.87,1.88,130.45,NA,0.00,43.88,740.34,NA
2021-01-13 00:00:00,237.22,392.50,31.14,85.03,70.29,75.27,6.86,2.63,22.37,NA,NA,NA,NA,NA,NA,10.95,74.92,1.14,155.29,1.00,1.00,47.29,740.31,NA
2021-01-14 00:00:00,269.48,421.92,49.90,123.54,106.31,75.58,7.02,3.62,18.27,NA,NA,NA,NA,NA,NA,10.36,78.46,0.85,228.32,1.00,1.00,40.96,740.27,NA
2021-01-15 00:00:00,401.85,586.94,68.62,145.69,133.29,92.88,6.23,3.89,20.10,NA,NA,NA,NA,NA,NA,12.83,79.62,0.75,227.25,1.00,1.00,40.36,740.38,NA
2021-01-16 00:00:00,224.38,355.51,20.31,71.67,54.66,80.17,1.71,5.74,13.45,NA,NA,NA,NA,NA,NA,10.80,72.42,1.54,117.57,1.00,1.00,38.51,740.20,NA
2021-01-17 00:00:00,188.40,252.42,2.10,25.81,15.46,71.32,7.01,2.24,21.55,NA,NA,NA,NA,NA,NA,10.30,91.65,1.92,240.45,NA,0.00,30.27,740.35,NA
2021-01-18 00:00:00,218.13,347.78,37.73,84.54,75.66,67.92,11.46,4.18,17.51,NA,NA,NA,NA,NA,NA,11.99,82.49,1.19,228.24,NA,0.00,36.57,740.57,NA
2021-01-19 00:00:00,254.91,389.23,24.99,82.49,64.22,74.50,5.14,1.99,17.28,NA,NA,NA,NA,NA,NA,NA,78.96,2.43,99.64,NA,0.00,49.43,740.57,NA
2021-01-20 00:00:00,148.79,262.89,4.43,49.29,29.84,61.52,6.18,1.66,20.55,NA,NA,NA,NA,NA,NA,NA,78.11,3.39,101.58,NA,0.00,50.70,740.41,NA
2021-01-21 00:00:00,176.97,312.57,47.97,100.78,87.01,58.68,10.77,2.41,32.13,NA,NA,NA,NA,NA,NA,17.16,67.76,2.68,124.93,NA,0.00,56.99,740.51,NA
2021-01-22 00:00:00,181.59,275.67,17.32,58.00,44.95,59.03,16.35,1.94,7.34,NA,NA,NA,NA,NA,NA,10.71,90.52,1.54,250.67,1.00,1.00,28.86,740.22,NA
2021-01-23 00:00:00,126.82,206.37,5.33,35.86,23.44,51.61,6.99,1.46,25.80,NA,NA,NA,NA,NA,NA,12.87,82.74,1.64,252.42,NA,0.00,45.77,740.28,NA
2021-01-24 00:00:00,241.58,389.67,8.60,50.63,33.91,69.37,5.86,2.71,5.39,NA,NA,NA,NA,NA,NA,12.37,94.86,2.01,135.38,1.00,1.00,17.08,740.47,NA
2021-01-25 00:00:00,180.74,337.21,29.16,71.58,61.81,53.21,8.17,2.35,16.13,NA,NA,NA,NA,NA,NA,11.39,85.79,1.80,141.28,NA,0.00,36.76,740.56,NA
2021-01-26 00:00:00,231.50,397.99,39.61,101.32,86.12,52.53,6.07,2.77,31.17,NA,NA,NA,NA,NA,NA,13.54,57.77,1.20,125.21,1.00,1.00,53.08,740.86,NA
2021-01-27 00:00:00,188.20,365.72,32.39,98.71,78.86,53.44,12.14,2.26,27.39,NA,NA,NA,NA,NA,NA,14.34,63.75,1.82,118.04,NA,0.00,56.24,740.81,NA
2021-01-28 00:00:00,245.29,387.75,53.18,113.17,103.46,62.93,7.86,2.95,14.01,NA,NA,NA,NA,NA,NA,11.22,80.07,1.02,204.04,NA,0.00,41.91,740.54,NA
2021-01-29 00:00:00,234.51,394.11,31.22,98.99,78.06,55.85,6.28,2.38,21.36,NA,NA,NA,NA,NA,NA,13.07,58.58,1.75,123.43,1.00,1.00,51.38,740.89,NA
2021-01-30 00:00:00,169.71,341.72,23.10,89.44,66.38,51.25,14.00,1.60,38.43,NA,NA,NA,NA,NA,NA,14.88,51.14,2.40,101.22,NA,0.00,56.55,740.84,NA
2021-01-31 00:00:00,227.37,380.19,36.11,120.47,93.46,58.21,14.77,2.29,39.47,NA,NA,NA,NA,NA,NA,14.50,64.05,0.97,173.58,NA,0.00,52.54,740.94,NA
2021-02-01 00:00:00,252.87,438.65,32.79,109.03,84.68,64.67,14.71,2.55,34.59,NA,NA,NA,NA,NA,NA,15.81,66.39,0.84,185.60,1.00,1.00,49.52,741.23,NA
2021-02-02 00:00:00,254.40,418.57,36.82,141.57,105.26,68.14,19.93,2.46,26.32,NA,NA,NA,NA,NA,NA,17.13,67.99,0.91,161.45,NA,0.00,48.42,741.23,NA
2021-02-03 00:00:00,204.55,304.13,5.18,45.15,28.12,64.32,16.08,1.84,27.49,NA,NA,NA,NA,NA,NA,17.21,75.38,1.42,249.01,NA,0.00,46.85,741.08,NA
2021-02-04 00:00:00,126.59,179.51,3.35,28.91,18.13,53.61,9.67,1.16,33.21,NA,NA,NA,NA,NA,NA,16.73,78.07,2.12,214.59,1.00,1.00,42.59,741.24,NA
2021-02-05 00:00:00,43.56,88.00,2.62,39.03,22.92,38.54,8.69,0.99,24.57,NA,NA,NA,NA,NA,NA,15.38,66.27,1.72,146.95,1.00,1.00,64.53,741.05,NA
2021-02-06 00:00:00,77.66,155.15,2.42,41.29,23.95,41.75,11.33,0.90,28.28,NA,NA,NA,NA,NA,NA,16.37,67.98,2.73,114.55,NA,0.00,65.26,741.26,NA
2021-02-07 00:00:00,108.35,225.42,6.16,52.25,32.82,45.03,8.85,1.10,40.60,NA,NA,NA,NA,NA,NA,17.19,66.03,2.87,104.00,NA,0.00,64.57,741.28,NA
2021-02-08 00:00:00,162.78,258.52,16.54,57.42,60.44,52.17,7.57,1.53,38.28,NA,NA,NA,NA,NA,NA,17.97,69.95,1.56,111.06,NA,0.00,61.15,741.53,NA
2021-02-09 00:00:00,209.76,394.11,15.12,113.96,67.65,55.28,23.11,1.93,36.52,NA,NA,NA,NA,NA,NA,18.40,70.95,1.21,144.33,1.00,1.00,55.52,741.11,NA
2021-02-10 00:00:00,205.01,365.43,31.46,120.69,89.80,55.12,23.12,2.07,29.24,NA,NA,NA,NA,NA,NA,19.81,65.98,1.08,207.72,NA,0.00,57.57,741.03,NA
2021-02-11 00:00:00,170.55,317.04,10.12,71.63,46.35,53.50,13.59,1.58,27.77,NA,NA,NA,NA,NA,NA,19.16,66.74,1.30,132.94,NA,0.00,60.94,741.14,NA
2021-02-12 00:00:00,230.56,379.81,13.12,80.49,53.52,60.94,16.58,1.74,24.80,NA,NA,NA,NA,NA,NA,18.15,84.52,0.74,180.58,NA,0.00,58.30,741.17,NA
2021-02-13 00:00:00,314.67,603.20,150.94,268.28,265.43,74.90,11.87,6.00,4.15,NA,NA,NA,NA,NA,NA,17.65,86.37,0.46,215.04,NA,0.00,6.00,741.00,NA
2021-02-14 00:00:00,217.77,391.88,51.37,140.15,116.38,65.14,4.18,2.73,24.70,NA,NA,NA,NA,NA,NA,18.66,58.93,0.94,204.34,1.00,1.00,56.77,741.24,NA
2021-02-15 00:00:00,172.63,337.13,57.20,154.93,129.05,64.16,8.60,2.65,16.34,NA,NA,NA,NA,NA,NA,20.00,69.23,0.91,196.88,NA,0.00,56.56,741.12,NA
2021-02-16 00:00:00,175.85,342.76,29.77,102.13,78.55,58.56,6.98,2.19,26.32,NA,NA,NA,NA,NA,NA,20.49,64.22,0.91,204.59,NA,0.00,53.28,741.09,NA
2021-02-17 00:00:00,144.10,342.47,41.26,122.62,98.80,52.86,4.27,2.27,22.74,NA,NA,NA,NA,NA,NA,21.44,5.00,0.92,150.82,NA,0.00,61.08,741.25,NA
2021-02-18 00:00:00,155.96,307.99,14.84,84.08,56.80,51.65,6.18,1.79,26.56,NA,NA,NA,NA,NA,NA,23.19,36.92,0.86,166.11,NA,0.00,53.62,741.55,NA
2021-02-19 00:00:00,170.02,318.80,11.86,80.55,52.51,61.34,6.48,1.89,21.66,NA,NA,NA,NA,NA,NA,20.73,54.47,1.29,126.77,1.00,1.00,56.17,741.83,NA
2021-02-20 00:00:00,129.03,276.36,17.27,79.71,56.46,53.73,3.96,1.82,19.53,NA,NA,NA,NA,NA,NA,19.29,48.36,1.71,107.84,0.50,0.50,63.22,741.64,NA
2021-02-21 00:00:00,151.83,312.30,4.20,64.83,37.93,52.92,5.59,1.45,31.66,NA,NA,NA,NA,NA,NA,20.94,54.81,2.19,98.61,NA,0.00,62.92,741.71,NA
2021-02-22 00:00:00,152.48,369.89,23.25,100.60,72.44,51.83,8.13,1.78,23.95,NA,NA,NA,NA,NA,NA,21.65,69.75,2.18,87.70,NA,0.00,61.83,741.64,NA
2021-02-23 00:00:00,138.90,395.07,73.94,178.29,154.32,50.58,10.09,2.60,29.42,NA,NA,NA,NA,NA,NA,18.23,5.33,1.40,112.93,NA,0.00,66.75,741.52,NA
2021-02-24 00:00:00,210.38,486.55,61.49,154.88,132.39,55.41,11.98,2.64,32.26,NA,NA,NA,NA,NA,NA,NA,1.00,1.49,137.81,NA,0.00,67.07,741.39,NA
2021-02-25 00:00:00,147.54,377.67,29.95,106.56,81.05,56.12,9.20,1.88,41.24,NA,NA,NA,NA,NA,NA,27.10,1.09,1.83,153.14,NA,0.00,79.53,741.29,NA
2021-02-26 00:00:00,110.92,345.93,31.98,99.30,78.85,51.97,11.52,1.76,31.61,NA,NA,NA,NA,NA,NA,NA,1.00,2.22,183.60,NA,0.00,91.54,741.16,NA
2021-02-27 00:00:00,96.65,329.22,30.86,100.89,78.78,52.89,12.15,1.65,28.70,NA,NA,NA,NA,NA,NA,26.22,11.87,1.64,194.65,NA,0.00,97.47,741.18,NA
2021-02-28 00:00:00,80.89,258.56,5.82,47.20,29.86,45.30,9.60,1.09,37.20,NA,NA,NA,NA,NA,NA,24.90,9.08,1.73,220.82,NA,0.00,86.56,741.47,NA
2021-03-01 00:00:00,63.96,247.35,2.05,42.23,24.16,40.40,8.04,0.93,40.64,NA,NA,NA,NA,NA,NA,21.81,94.07,2.74,203.48,NA,0.00,97.27,741.39,NA
2021-03-02 00:00:00,54.80,292.11,1.40,31.30,17.81,36.02,8.58,0.75,53.82,NA,NA,NA,NA,NA,NA,22.37,87.34,4.22,181.90,NA,0.00,97.98,741.40,NA
2021-03-03 00:00:00,79.09,262.46,14.17,65.63,46.45,37.21,5.97,1.53,59.82,NA,NA,NA,NA,NA,NA,23.30,83.39,2.86,190.33,NA,0.00,96.99,741.41,NA
2021-03-04 00:00:00,143.12,325.66,37.13,125.17,96.79,49.56,11.40,2.00,47.05,NA,NA,NA,NA,NA,NA,23.62,84.13,1.11,199.83,NA,0.00,86.77,741.44,NA
2021-03-05 00:00:00,91.17,291.17,8.05,54.85,35.74,44.85,6.12,1.23,43.92,NA,NA,NA,NA,NA,NA,23.79,92.74,3.17,185.12,NA,0.00,96.23,741.40,NA
2021-03-06 00:00:00,93.85,282.72,13.86,65.94,46.36,43.50,7.15,1.51,53.81,NA,NA,NA,NA,NA,NA,23.94,80.92,2.65,186.05,NA,0.00,95.17,741.39,NA
2021-03-07 00:00:00,146.93,311.92,11.67,68.37,44.99,54.18,17.10,1.52,51.15,NA,NA,NA,NA,NA,NA,24.31,53.46,1.67,234.43,NA,0.00,75.46,741.18,NA
2021-03-08 00:00:00,114.26,256.18,1.82,47.82,26.82,55.88,14.70,1.27,58.33,NA,NA,NA,NA,NA,NA,25.38,58.97,2.37,244.68,NA,0.00,81.56,741.39,NA
2021-03-09 00:00:00,156.73,365.41,13.77,75.38,51.32,66.48,14.88,1.64,55.27,NA,NA,NA,NA,NA,NA,26.27,59.86,1.96,225.54,NA,0.00,79.10,741.83,NA
2021-03-10 00:00:00,75.32,247.65,17.25,95.36,64.76,47.36,13.22,1.56,52.50,NA,NA,NA,NA,NA,NA,26.80,50.71,1.25,195.94,NA,0.00,82.91,741.90,NA
2021-03-11 00:00:00,141.76,372.71,27.14,104.63,77.73,53.71,24.10,1.93,42.85,NA,NA,NA,NA,NA,NA,27.32,52.64,1.14,182.14,NA,0.00,91.68,741.93,NA
2021-03-12 00:00:00,105.87,246.81,12.65,80.64,53.19,51.30,17.72,1.39,27.34,NA,NA,NA,NA,NA,NA,24.91,54.51,1.80,212.95,1.33,4.00,55.48,741.64,NA
2021-03-13 00:00:00,108.34,247.19,10.93,74.10,48.32,49.08,16.20,1.27,50.50,NA,NA,NA,NA,NA,NA,25.31,54.46,1.72,197.45,NA,0.00,88.65,741.92,NA
2021-03-14 00:00:00,82.53,228.81,3.80,61.56,35.86,42.95,14.27,1.05,56.62,NA,NA,NA,NA,NA,NA,25.81,51.92,2.25,174.78,NA,0.00,98.23,741.69,NA
2021-03-15 00:00:00,87.64,304.86,4.28,67.20,39.25,41.61,13.18,1.06,46.39,NA,NA,NA,NA,NA,NA,26.48,51.15,2.57,171.19,NA,0.00,88.36,741.74,NA
2021-03-16 00:00:00,81.16,392.26,3.31,59.86,34.54,40.89,11.32,0.99,36.73,NA,NA,NA,NA,NA,NA,26.64,51.25,2.72,175.20,NA,0.00,86.55,741.73,NA
2021-03-17 00:00:00,112.90,428.05,5.63,65.17,39.12,42.45,19.76,1.28,51.93,NA,NA,NA,NA,NA,NA,27.52,47.92,2.03,180.57,NA,0.00,89.24,741.73,NA
2021-03-18 00:00:00,136.00,442.66,12.32,78.38,51.41,44.01,24.33,1.58,45.06,NA,NA,NA,NA,NA,NA,27.46,48.96,1.47,181.72,NA,0.00,83.84,741.75,NA
2021-03-19 00:00:00,107.44,356.09,7.17,69.23,42.68,39.93,22.69,1.20,52.83,NA,NA,NA,NA,NA,NA,28.24,45.30,2.10,180.62,NA,0.00,91.78,741.72,NA
2021-03-20 00:00:00,93.48,304.01,14.68,74.43,51.28,39.40,15.99,1.33,60.19,NA,NA,NA,NA,NA,NA,27.45,47.22,2.40,173.42,NA,0.00,95.89,741.54,NA
2021-03-21 00:00:00,123.75,325.22,22.71,106.18,74.98,43.36,17.09,1.42,63.01,NA,NA,NA,NA,NA,NA,27.84,48.26,1.54,200.60,NA,0.00,90.25,741.64,NA
2021-03-22 00:00:00,82.02,261.38,9.85,64.63,42.07,41.18,18.58,1.36,41.33,NA,NA,NA,NA,NA,NA,26.85,51.26,2.36,242.32,NA,0.00,79.83,741.82,NA
2021-03-23 00:00:00,78.02,292.12,22.10,82.51,61.88,41.80,14.44,1.18,22.31,NA,NA,NA,NA,NA,NA,25.22,53.84,2.53,193.30,4.00,8.00,58.35,741.65,NA
2021-03-24 00:00:00,82.91,247.57,13.20,68.44,47.17,40.03,20.54,1.07,59.54,NA,NA,NA,NA,NA,NA,26.06,48.42,1.99,192.34,NA,0.00,93.06,741.91,NA
2021-03-25 00:00:00,41.76,171.96,1.36,42.33,23.64,34.31,10.61,0.85,48.80,NA,NA,NA,NA,NA,NA,25.12,51.04,3.48,174.38,NA,0.00,98.09,741.57,NA
2021-03-26 00:00:00,65.26,197.71,2.57,49.44,28.31,36.54,17.34,1.07,58.62,NA,NA,NA,NA,NA,NA,25.86,49.71,3.01,181.27,NA,0.00,103.90,741.45,NA
2021-03-27 00:00:00,140.73,300.91,16.65,97.32,65.02,43.17,24.22,1.82,60.25,NA,NA,NA,NA,NA,NA,27.40,48.80,1.50,182.48,NA,0.00,98.47,741.72,NA
2021-03-28 00:00:00,159.69,324.03,8.32,86.30,52.32,46.96,23.72,1.89,55.00,NA,NA,NA,NA,NA,NA,28.59,48.43,1.12,191.39,NA,0.00,94.05,741.74,NA
2021-03-29 00:00:00,146.26,292.17,20.02,78.95,57.80,52.49,15.36,1.69,66.43,NA,NA,NA,NA,NA,NA,30.05,43.40,1.34,175.80,NA,0.00,98.44,741.69,NA
2021-03-30 00:00:00,111.05,439.25,16.92,61.58,45.79,49.88,14.59,1.31,54.50,NA,NA,NA,NA,NA,NA,29.95,42.58,3.85,159.58,NA,0.00,97.34,741.06,NA
2021-03-31 00:00:00,38.04,285.27,0.96,32.67,18.14,32.50,6.68,0.79,75.74,NA,NA,NA,NA,NA,NA,28.85,34.62,4.89,174.15,NA,0.00,117.81,741.12,NA
2021-04-01 00:00:00,40.02,322.63,1.10,33.96,18.82,26.36,10.96,0.72,68.94,NA,NA,NA,NA,NA,NA,28.09,29.89,5.11,176.16,NA,0.00,117.26,741.06,NA
2021-04-02 00:00:00,63.84,228.65,2.48,51.37,29.35,26.90,17.08,NA,57.97,NA,NA,NA,NA,NA,NA,27.51,30.93,2.77,173.88,NA,0.00,113.93,741.17,NA
2021-04-03 00:00:00,111.65,256.76,5.45,65.11,38.95,28.27,32.00,1.54,54.87,NA,NA,NA,NA,NA,NA,27.78,30.20,1.72,202.64,NA,0.00,112.94,741.70,NA
2021-04-04 00:00:00,102.44,271.47,6.29,64.10,39.06,26.33,21.39,1.75,61.72,NA,NA,NA,NA,NA,NA,29.22,31.54,2.39,175.69,NA,0.00,112.11,742.03,NA
2021-04-05 00:00:00,113.62,300.24,29.66,132.23,93.42,33.61,32.58,1.73,54.30,NA,NA,NA,NA,NA,NA,30.48,34.16,1.39,206.10,NA,0.00,96.10,741.92,NA
2021-04-06 00:00:00,114.75,311.59,4.35,42.15,25.98,47.15,30.15,0.73,101.59,NA,NA,NA,NA,NA,NA,30.15,39.80,1.90,249.31,NA,0.00,92.01,741.81,NA
2021-04-07 00:00:00,75.68,280.95,3.80,38.82,23.77,39.90,18.37,0.56,79.48,NA,NA,NA,NA,NA,NA,29.96,40.03,2.54,199.91,NA,0.00,95.03,741.96,NA
2021-04-08 00:00:00,79.30,230.17,5.81,53.74,33.33,33.39,24.43,0.73,66.04,NA,NA,NA,NA,NA,NA,28.76,35.76,2.51,185.55,NA,0.00,112.67,741.95,NA
2021-04-09 00:00:00,111.21,307.86,37.63,105.13,86.54,29.60,28.83,1.58,51.93,NA,NA,NA,NA,NA,NA,29.05,32.64,2.14,208.30,NA,0.00,116.12,741.94,NA
2021-04-10 00:00:00,94.33,295.50,13.87,75.30,51.34,27.26,21.32,0.93,55.93,NA,NA,NA,NA,NA,NA,30.22,30.65,2.10,177.57,NA,0.00,111.07,742.20,NA
2021-04-11 00:00:00,93.94,289.45,16.92,78.28,55.41,28.73,27.78,0.97,55.32,NA,NA,NA,NA,NA,NA,31.19,30.26,2.19,185.01,NA,0.00,112.35,742.31,NA
